team,elo
Canada,1788
Mexico,1875
United States,1726
Algeria,1772
Argentina,2115
Australia,1777
Austria,1830
Belgium,1894
Bosnia and Herzegovina,1595
Brazil,1991
Cape Verde,1578
Colombia,1982
DR Congo,1652
Ivory Coast,1695
Croatia,1912
Curaçao,1434
Czechia,1740
Ecuador,1938
Egypt,1696
England,2024
France,2063
Germany,1932
Ghana,1510
Haiti,1548
Iran,1772
Iraq,1607
Japan,1906
Jordan,1680
South Korea,1758
Morocco,1827
Netherlands,1948
New Zealand,1562
Norway,1914
Panama,1730
Paraguay,1834
Portugal,1989
Qatar,1421
Saudi Arabia,1576
Scotland,1782
Senegal,1860
South Africa,1517
Spain,2157
Sweden,1712
Switzerland,1891
Tunisia,1628
Türkiye,1911
Uruguay,1892
Uzbekistan,1714
